"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2011-2015",8,"Nou Barris",48,"la Guineueta",87.3
"2011-2015",8,"Nou Barris",49,"Canyelles",86
"2011-2015",8,"Nou Barris",50,"les Roquetes",86.9
"2011-2015",8,"Nou Barris",51,"Verdun",88.6
"2011-2015",8,"Nou Barris",52,"la Prosperitat",88.6
"2011-2015",8,"Nou Barris",53,"la Trinitat Nova",83.4
"2011-2015",8,"Nou Barris",55,"Ciutat Meridiana",90
"2011-2015",9,"Sant Andreu",57,"la Trinitat Vella",91
"2011-2015",9,"Sant Andreu",59,"el Bon Pastor",87.1
"2011-2015",9,"Sant Andreu",60,"Sant Andreu",87.7
"2011-2015",9,"Sant Andreu",61,"la Sagrera",87.9
"2011-2015",9,"Sant Andreu",62,"el Congrés i els Indians",88.8
"2011-2015",9,"Sant Andreu",63,"Navas",89.4
"2011-2015",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.6
"2011-2015",10,"Sant Martí",65,"el Clot",88.8
"2011-2015",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",86.1
"2011-2015",10,"Sant Martí",68,"el Poblenou",87.2
"2011-2015",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.5
"2011-2015",10,"Sant Martí",70,"el Besòs i el Maresme",87.4
"2011-2015",10,"Sant Martí",71,"Provençals del Poblenou",88
"2011-2015",10,"Sant Martí",72,"Sant Martí de Provençals",87.5
"2011-2015",10,"Sant Martí",73,"la Verneda i la Pau",87.4
"2012-2016",1,"Ciutat Vella",1,"el Raval",85.7
"2012-2016",1,"Ciutat Vella",2,"el Barri Gòtic",86.9
"2012-2016",1,"Ciutat Vella",3,"la Barceloneta",84.2
"2012-2016",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.6
"2012-2016",2,"Eixample",5,"el Fort Pienc",86.3
"2012-2016",2,"Eixample",6,"la Sagrada Família",87.5
"2012-2016",2,"Eixample",7,"la Dreta de l'Eixample",85.4
"2012-2016",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.8
"2012-2016",2,"Eixample",9,"la Nova Esquerra de l'Eixample",89
"2012-2016",2,"Eixample",10,"Sant Antoni",88.1
"2012-2016",3,"Sants-Montjuïc",11,"el Poble Sec",86.7
"2012-2016",3,"Sants-Montjuïc",13,"la Marina de Port",87.8
"2012-2016",3,"Sants-Montjuïc",14,"la Font de la Guatlla",84.9
"2012-2016",3,"Sants-Montjuïc",15,"Hostafrancs",86.6
"2012-2016",3,"Sants-Montjuïc",16,"la Bordeta",86.7
"2012-2016",3,"Sants-Montjuïc",17,"Sants - Badal",87.7
"2012-2016",3,"Sants-Montjuïc",18,"Sants",86.8
"2012-2016",4,"Les Corts",19,"les Corts",87.8
"2012-2016",4,"Les Corts",20,"la Maternitat i Sant Ramon",89.6
"2012-2016",4,"Les Corts",21,"Pedralbes",88.7
"2012-2016",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",81.9
"2012-2016",5,"Sarrià-Sant Gervasi",23,"Sarrià",86.6
"2012-2016",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.3
"2012-2016",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.6
"2012-2016",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",87.5
"2012-2016",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",88.2
"2012-2016",6,"Gràcia",28,"Vallcarca i els Penitents",86.5
"2012-2016",6,"Gràcia",29,"el Coll",87.6
"2012-2016",6,"Gràcia",30,"la Salut",85.3
"2012-2016",6,"Gràcia",31,"la Vila de Gràcia",86.3
"2012-2016",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",86.8
"2012-2016",7,"Horta-Guinardó",33,"el Baix Guinardó",86.4
"2012-2016",7,"Horta-Guinardó",34,"Can Baró",86.7
"2012-2016",7,"Horta-Guinardó",35,"el Guinardó",88.7
"2012-2016",7,"Horta-Guinardó",36,"la Font d'en Fargues",86.1
"2012-2016",7,"Horta-Guinardó",37,"el Carmel",88.2
"2012-2016",7,"Horta-Guinardó",38,"la Teixonera",87.4
"2012-2016",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85.4
"2012-2016",7,"Horta-Guinardó",40,"Montbau",85.3
"2012-2016",7,"Horta-Guinardó",41,"la Vall d'Hebron",86
"2012-2016",7,"Horta-Guinardó",43,"Horta",86.2
"2012-2016",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.5
"2012-2016",8,"Nou Barris",45,"Porta",88.1
"2012-2016",8,"Nou Barris",46,"el Turó de la Peira",90.4
"2012-2016",8,"Nou Barris",48,"la Guineueta",88.8
"2012-2016",8,"Nou Barris",49,"Canyelles",87.2
"2012-2016",8,"Nou Barris",50,"les Roquetes",86.8
"2012-2016",8,"Nou Barris",51,"Verdun",88.6
"2012-2016",8,"Nou Barris",52,"la Prosperitat",88.7
"2012-2016",8,"Nou Barris",53,"la Trinitat Nova",83.2
"2012-2016",8,"Nou Barris",55,"Ciutat Meridiana",90
"2012-2016",9,"Sant Andreu",57,"la Trinitat Vella",89.3
"2012-2016",9,"Sant Andreu",59,"el Bon Pastor",87
"2012-2016",9,"Sant Andreu",60,"Sant Andreu",88.1
"2012-2016",9,"Sant Andreu",61,"la Sagrera",88.2
"2012-2016",9,"Sant Andreu",62,"el Congrés i els Indians",87.6
"2012-2016",9,"Sant Andreu",63,"Navas",89.5
"2012-2016",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.9
"2012-2016",10,"Sant Martí",65,"el Clot",88.3
"2012-2016",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",86.5
"2012-2016",10,"Sant Martí",68,"el Poblenou",87.5
"2012-2016",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",86.8
"2012-2016",10,"Sant Martí",70,"el Besòs i el Maresme",87.7
"2012-2016",10,"Sant Martí",71,"Provençals del Poblenou",88
"2012-2016",10,"Sant Martí",72,"Sant Martí de Provençals",88.4
"2012-2016",10,"Sant Martí",73,"la Verneda i la Pau",87.6
"2013-2017",1,"Ciutat Vella",1,"el Raval",85.7
"2013-2017",1,"Ciutat Vella",2,"el Barri Gòtic",86.6
"2013-2017",1,"Ciutat Vella",3,"la Barceloneta",84.7
"2013-2017",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.8
"2013-2017",2,"Eixample",5,"el Fort Pienc",86.3
"2013-2017",2,"Eixample",6,"la Sagrada Família",87.8
"2013-2017",2,"Eixample",7,"la Dreta de l'Eixample",85.5
"2013-2017",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87.1
"2013-2017",2,"Eixample",9,"la Nova Esquerra de l'Eixample",88.9
"2013-2017",2,"Eixample",10,"Sant Antoni",88.3
"2013-2017",3,"Sants-Montjuïc",11,"el Poble Sec",86.8
"2013-2017",3,"Sants-Montjuïc",13,"la Marina de Port",87.7
"2013-2017",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.6
"2013-2017",3,"Sants-Montjuïc",15,"Hostafrancs",86.3
"2013-2017",3,"Sants-Montjuïc",16,"la Bordeta",88.2
"2013-2017",3,"Sants-Montjuïc",17,"Sants - Badal",88.1
"2013-2017",3,"Sants-Montjuïc",18,"Sants",87.1
"2013-2017",4,"Les Corts",19,"les Corts",88.1
"2013-2017",4,"Les Corts",20,"la Maternitat i Sant Ramon",90.2
"2013-2017",4,"Les Corts",21,"Pedralbes",89.7
"2013-2017",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",82.1
"2013-2017",5,"Sarrià-Sant Gervasi",23,"Sarrià",86.7
"2013-2017",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.3
"2013-2017",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.9
"2013-2017",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",88.5
"2013-2017",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",88.8
"2013-2017",6,"Gràcia",28,"Vallcarca i els Penitents",86.5
"2013-2017",6,"Gràcia",29,"el Coll",88
"2013-2017",6,"Gràcia",30,"la Salut",85.7
"2013-2017",6,"Gràcia",31,"la Vila de Gràcia",86.7
"2013-2017",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",86.9
"2013-2017",7,"Horta-Guinardó",33,"el Baix Guinardó",86.7
"2013-2017",7,"Horta-Guinardó",34,"Can Baró",86.8
"2013-2017",7,"Horta-Guinardó",35,"el Guinardó",88.6
"2013-2017",7,"Horta-Guinardó",36,"la Font d'en Fargues",86.8
"2013-2017",7,"Horta-Guinardó",37,"el Carmel",88.1
"2013-2017",7,"Horta-Guinardó",38,"la Teixonera",86.6
"2013-2017",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85.9
"2013-2017",7,"Horta-Guinardó",40,"Montbau",85.4
"2013-2017",7,"Horta-Guinardó",41,"la Vall d'Hebron",86.1
"2013-2017",7,"Horta-Guinardó",43,"Horta",87.1
"2013-2017",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.6
"2013-2017",8,"Nou Barris",45,"Porta",88.3
"2013-2017",8,"Nou Barris",46,"el Turó de la Peira",90.4
"2013-2017",8,"Nou Barris",48,"la Guineueta",88.9
"2013-2017",8,"Nou Barris",49,"Canyelles",87.3
"2013-2017",8,"Nou Barris",50,"les Roquetes",86.7
"2013-2017",8,"Nou Barris",51,"Verdun",88.8
"2013-2017",8,"Nou Barris",52,"la Prosperitat",89
"2013-2017",8,"Nou Barris",53,"la Trinitat Nova",83.7
"2013-2017",8,"Nou Barris",55,"Ciutat Meridiana",89.8
"2013-2017",9,"Sant Andreu",57,"la Trinitat Vella",89
"2013-2017",9,"Sant Andreu",59,"el Bon Pastor",86.5
"2013-2017",9,"Sant Andreu",60,"Sant Andreu",88.2
"2013-2017",9,"Sant Andreu",61,"la Sagrera",88.2
"2013-2017",9,"Sant Andreu",62,"el Congrés i els Indians",87.9
"2013-2017",9,"Sant Andreu",63,"Navas",89.2
"2013-2017",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.7
"2013-2017",10,"Sant Martí",65,"el Clot",88
"2013-2017",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",86.5
"2013-2017",10,"Sant Martí",68,"el Poblenou",87.5
"2013-2017",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.2
"2013-2017",10,"Sant Martí",70,"el Besòs i el Maresme",88.4
"2013-2017",10,"Sant Martí",71,"Provençals del Poblenou",88.1
"2013-2017",10,"Sant Martí",72,"Sant Martí de Provençals",88.8
"2013-2017",10,"Sant Martí",73,"la Verneda i la Pau",87.7
"2014-2018",1,"Ciutat Vella",1,"el Raval",85.7
"2014-2018",1,"Ciutat Vella",2,"el Barri Gòtic",87
"2014-2018",1,"Ciutat Vella",3,"la Barceloneta",84.8
"2014-2018",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",86.1
"2014-2018",2,"Eixample",5,"el Fort Pienc",86.6
"2014-2018",2,"Eixample",6,"la Sagrada Família",87.9
"2014-2018",2,"Eixample",7,"la Dreta de l'Eixample",85.7
"2014-2018",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87.1
"2014-2018",2,"Eixample",9,"la Nova Esquerra de l'Eixample",88.5
"2014-2018",2,"Eixample",10,"Sant Antoni",87.8
"2014-2018",3,"Sants-Montjuïc",11,"el Poble Sec",86.5
"2014-2018",3,"Sants-Montjuïc",13,"la Marina de Port",87.2
"2014-2018",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.4
"2014-2018",3,"Sants-Montjuïc",15,"Hostafrancs",86.3
"2014-2018",3,"Sants-Montjuïc",16,"la Bordeta",88.6
"2014-2018",3,"Sants-Montjuïc",17,"Sants - Badal",87.9
"2014-2018",3,"Sants-Montjuïc",18,"Sants",87.9
"2014-2018",4,"Les Corts",19,"les Corts",87.6
"2014-2018",4,"Les Corts",20,"la Maternitat i Sant Ramon",90.1
"2014-2018",4,"Les Corts",21,"Pedralbes",89.2
"2014-2018",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",81.5
"2014-2018",5,"Sarrià-Sant Gervasi",23,"Sarrià",86.6
"2014-2018",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.2
"2014-2018",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.8
"2014-2018",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",88.8
"2014-2018",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",89.3
"2014-2018",6,"Gràcia",28,"Vallcarca i els Penitents",86.7
"2014-2018",6,"Gràcia",29,"el Coll",88.1
"2014-2018",6,"Gràcia",30,"la Salut",85.4
"2014-2018",6,"Gràcia",31,"la Vila de Gràcia",86.9
"2014-2018",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.3
"2014-2018",7,"Horta-Guinardó",33,"el Baix Guinardó",86
"2014-2018",7,"Horta-Guinardó",34,"Can Baró",87.3
"2014-2018",7,"Horta-Guinardó",35,"el Guinardó",88.4
"2014-2018",7,"Horta-Guinardó",36,"la Font d'en Fargues",87.2
"2014-2018",7,"Horta-Guinardó",37,"el Carmel",88
"2014-2018",7,"Horta-Guinardó",38,"la Teixonera",87.6
"2014-2018",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85.7
"2014-2018",7,"Horta-Guinardó",40,"Montbau",84.6
"2014-2018",7,"Horta-Guinardó",41,"la Vall d'Hebron",87
"2014-2018",7,"Horta-Guinardó",43,"Horta",87.7
"2014-2018",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.9
"2014-2018",8,"Nou Barris",45,"Porta",88.2
"2014-2018",8,"Nou Barris",46,"el Turó de la Peira",90.2
"2014-2018",8,"Nou Barris",48,"la Guineueta",89.7
"2014-2018",8,"Nou Barris",49,"Canyelles",87.6
"2014-2018",8,"Nou Barris",50,"les Roquetes",87.2
"2014-2018",8,"Nou Barris",51,"Verdun",88.6
"2014-2018",8,"Nou Barris",52,"la Prosperitat",88.8
"2014-2018",8,"Nou Barris",53,"la Trinitat Nova",84.3
"2014-2018",8,"Nou Barris",55,"Ciutat Meridiana",89
"2014-2018",9,"Sant Andreu",57,"la Trinitat Vella",88.8
"2014-2018",9,"Sant Andreu",60,"Sant Andreu",88.2
"2014-2018",9,"Sant Andreu",61,"la Sagrera",88.3
"2014-2018",9,"Sant Andreu",62,"el Congrés i els Indians",87.6
"2014-2018",9,"Sant Andreu",63,"Navas",88.9
"2014-2018",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.5
"2014-2018",10,"Sant Martí",65,"el Clot",87.8
"2014-2018",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",87.4
"2014-2018",10,"Sant Martí",68,"el Poblenou",86.7
"2014-2018",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",86.8
"2014-2018",10,"Sant Martí",70,"el Besòs i el Maresme",88.6
"2014-2018",10,"Sant Martí",71,"Provençals del Poblenou",87.8
"2014-2018",10,"Sant Martí",72,"Sant Martí de Provençals",89.3
"2014-2018",10,"Sant Martí",73,"la Verneda i la Pau",87.7
"2015-2019",1,"Ciutat Vella",1,"el Raval",85.9
"2015-2019",1,"Ciutat Vella",2,"el Barri Gòtic",86.7
"2015-2019",1,"Ciutat Vella",3,"la Barceloneta",84.2
"2015-2019",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.9
"2015-2019",2,"Eixample",5,"el Fort Pienc",86.9
"2015-2019",2,"Eixample",6,"la Sagrada Família",88
"2015-2019",2,"Eixample",7,"la Dreta de l'Eixample",85.8
"2015-2019",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.8
"2015-2019",2,"Eixample",9,"la Nova Esquerra de l'Eixample",88.5
"2015-2019",2,"Eixample",10,"Sant Antoni",88.4
"2015-2019",3,"Sants-Montjuïc",11,"el Poble Sec",86.5
"2015-2019",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",84
"2015-2019",3,"Sants-Montjuïc",13,"la Marina de Port",87.5
"2015-2019",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.5
"2015-2019",3,"Sants-Montjuïc",15,"Hostafrancs",87
"2015-2019",3,"Sants-Montjuïc",16,"la Bordeta",88.9
"2015-2019",3,"Sants-Montjuïc",17,"Sants - Badal",88.1
"2015-2019",3,"Sants-Montjuïc",18,"Sants",88.4
"2015-2019",4,"Les Corts",19,"les Corts",87.8
"2015-2019",4,"Les Corts",20,"la Maternitat i Sant Ramon",89.2
"2015-2019",4,"Les Corts",21,"Pedralbes",89.9
"2015-2019",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",82.9
"2015-2019",5,"Sarrià-Sant Gervasi",23,"Sarrià",86.8
"2015-2019",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.3
"2015-2019",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",87
"2015-2019",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",88.7
"2015-2019",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",89
"2015-2019",6,"Gràcia",28,"Vallcarca i els Penitents",87.6
"2015-2019",6,"Gràcia",29,"el Coll",89
"2015-2019",6,"Gràcia",30,"la Salut",85.3
"2015-2019",6,"Gràcia",31,"la Vila de Gràcia",87.4
"2015-2019",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",88
"2015-2019",7,"Horta-Guinardó",33,"el Baix Guinardó",86.7
"2015-2019",7,"Horta-Guinardó",34,"Can Baró",87.2
"2015-2019",7,"Horta-Guinardó",35,"el Guinardó",88.3
"2015-2019",7,"Horta-Guinardó",36,"la Font d'en Fargues",87.3
"2015-2019",7,"Horta-Guinardó",37,"el Carmel",88.4
"2015-2019",7,"Horta-Guinardó",38,"la Teixonera",87.5
"2015-2019",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",86.9
"2015-2019",7,"Horta-Guinardó",40,"Montbau",83.2
"2015-2019",7,"Horta-Guinardó",41,"la Vall d'Hebron",87.6
"2015-2019",7,"Horta-Guinardó",42,"la Clota",81.7
"2015-2019",7,"Horta-Guinardó",43,"Horta",87.9
"2015-2019",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",88.7
"2015-2019",8,"Nou Barris",45,"Porta",88.4
"2015-2019",8,"Nou Barris",46,"el Turó de la Peira",89.8
"2015-2019",8,"Nou Barris",47,"Can Peguera",85.8
"2015-2019",8,"Nou Barris",48,"la Guineueta",89.2
"2015-2019",8,"Nou Barris",49,"Canyelles",87.7
"2015-2019",8,"Nou Barris",50,"les Roquetes",87.9
"2015-2019",8,"Nou Barris",51,"Verdun",88.2
"2015-2019",8,"Nou Barris",52,"la Prosperitat",89.1
"2015-2019",8,"Nou Barris",53,"la Trinitat Nova",84.1
"2015-2019",8,"Nou Barris",54,"Torre Baró",85
"2015-2019",8,"Nou Barris",55,"Ciutat Meridiana",88.9
"2015-2019",8,"Nou Barris",56,"Vallbona",81.7
"2015-2019",9,"Sant Andreu",57,"la Trinitat Vella",90
"2015-2019",9,"Sant Andreu",58,"Baró de Viver",86.7
"2015-2019",9,"Sant Andreu",59,"el Bon Pastor",86.6
"2015-2019",9,"Sant Andreu",60,"Sant Andreu",88.2
"2015-2019",9,"Sant Andreu",61,"la Sagrera",88.3
"2015-2019",9,"Sant Andreu",62,"el Congrés i els Indians",88.2
"2015-2019",9,"Sant Andreu",63,"Navas",88.3
"2015-2019",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.6
"2015-2019",10,"Sant Martí",65,"el Clot",88
"2015-2019",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",87.9
"2015-2019",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",88.7
"2015-2019",10,"Sant Martí",68,"el Poblenou",87.1
"2015-2019",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.1
"2015-2019",10,"Sant Martí",70,"el Besòs i el Maresme",88.8
"2015-2019",10,"Sant Martí",71,"Provençals del Poblenou",88.1
"2015-2019",10,"Sant Martí",72,"Sant Martí de Provençals",89.8
"2015-2019",10,"Sant Martí",73,"la Verneda i la Pau",87.9
