Anys_Periode;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Esp vida Homes;Esp vida Dones
2008-2012;9;Sant Andreu;61;la Sagrera;816;873
2008-2012;9;Sant Andreu;62;el Congrés i els Indians;795;878
2008-2012;9;Sant Andreu;63;Navas;806;876
2008-2012;10;Sant Martí;64;el Camp de l'Arpa del Clot;811;872
2008-2012;10;Sant Martí;65;el Clot;806;872
2008-2012;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;802;856
2008-2012;10;Sant Martí;67;la Vila Olímpica del Poblenou;821;88
2008-2012;10;Sant Martí;68;el Poblenou;784;861
2008-2012;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;812;874
2008-2012;10;Sant Martí;70;el Besòs i el Maresme;784;855
2008-2012;10;Sant Martí;71;Provençals del Poblenou;794;865
2008-2012;10;Sant Martí;72;Sant Martí de Provençals;797;862
2008-2012;10;Sant Martí;73;la Verneda i la Pau;799;857
2009-2013;1;Ciutat Vella;1;el Raval;762;849
2009-2013;1;Ciutat Vella;2;el Barri Gòtic;795;875
2009-2013;1;Ciutat Vella;3;la Barceloneta;786;863
2009-2013;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;788;855
2009-2013;2;Eixample;5;el Fort Pienc;802;877
2009-2013;2;Eixample;6;la Sagrada Família;792;851
2009-2013;2;Eixample;7;la Dreta de l'Eixample;791;857
2009-2013;2;Eixample;8;l'Antiga Esquerra de l'Eixample;803;858
2009-2013;2;Eixample;9;la Nova Esquerra de l'Eixample;814;87
2009-2013;2;Eixample;10;Sant Antoni;809;86
2009-2013;3;Sants-Montjuïc;11;el Poble Sec;82;882
2009-2013;3;Sants-Montjuïc;13;la Marina de Port;83;881
2009-2013;3;Sants-Montjuïc;14;la Font de la Guatlla;842;884
2009-2013;3;Sants-Montjuïc;15;Hostafrancs;782;817
2009-2013;3;Sants-Montjuïc;16;la Bordeta;818;869
2009-2013;3;Sants-Montjuïc;17;Sants - Badal;835;878
2009-2013;3;Sants-Montjuïc;18;Sants;824;865
2009-2013;4;Les Corts;19;les Corts;818;868
2009-2013;4;Les Corts;20;la Maternitat i Sant Ramon;821;878
2009-2013;4;Les Corts;21;Pedralbes;807;86
2009-2013;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;81;885
2009-2013;5;Sarrià-Sant Gervasi;23;Sarrià;76;848
2009-2013;5;Sarrià-Sant Gervasi;24;les Tres Torres;78;851
2009-2013;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;796;857
2009-2013;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;813;877
2009-2013;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;812;866
2009-2013;6;Gràcia;28;Vallcarca i els Penitents;809;86
2009-2013;6;Gràcia;29;el Coll;801;876
2009-2013;6;Gràcia;30;la Salut;801;853
2009-2013;6;Gràcia;31;la Vila de Gràcia;794;872
2009-2013;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;80;862
2009-2013;7;Horta-Guinardó;33;el Baix Guinardó;81;851
2009-2013;7;Horta-Guinardó;34;Can Baró;788;855
2009-2013;7;Horta-Guinardó;35;el Guinardó;774;823
2009-2013;7;Horta-Guinardó;36;la Font d'en Fargues;805;858
2009-2013;7;Horta-Guinardó;37;el Carmel;778;878
2009-2013;7;Horta-Guinardó;38;la Teixonera;796;856
2009-2013;7;Horta-Guinardó;39;Sant Genís dels Agudells;796;869
2009-2013;7;Horta-Guinardó;40;Montbau;804;873
2009-2013;7;Horta-Guinardó;41;la Vall d'Hebron;81;884
2009-2013;7;Horta-Guinardó;43;Horta;797;865
2009-2013;8;Nou Barris;44;Vilapicina i la Torre Llobeta;798;858
2009-2013;8;Nou Barris;45;Porta;811;87
2009-2013;8;Nou Barris;46;el Turó de la Peira;77;86
2009-2013;8;Nou Barris;47;Can Peguera;779;872
2009-2013;8;Nou Barris;48;la Guineueta;801;878
2009-2013;8;Nou Barris;49;Canyelles;758;835
2009-2013;8;Nou Barris;50;les Roquetes;69;836
2009-2013;8;Nou Barris;51;Verdun;796;862
2009-2013;8;Nou Barris;52;la Prosperitat;777;805
2009-2013;8;Nou Barris;53;la Trinitat Nova;798;877
2009-2013;8;Nou Barris;54;Torre Baró;731;831
2009-2013;8;Nou Barris;55;Ciutat Meridiana;783;863
2009-2013;9;Sant Andreu;57;la Trinitat Vella;806;869
2009-2013;9;Sant Andreu;58;Baró de Viver;813;88
2009-2013;9;Sant Andreu;59;el Bon Pastor;803;885
2009-2013;9;Sant Andreu;60;Sant Andreu;818;883
2009-2013;9;Sant Andreu;61;la Sagrera;813;874
2009-2013;9;Sant Andreu;62;el Congrés i els Indians;809;877
2009-2013;9;Sant Andreu;63;Navas;805;86
2009-2013;10;Sant Martí;64;el Camp de l'Arpa del Clot;824;883
2009-2013;10;Sant Martí;65;el Clot;789;869
2009-2013;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;818;879
2009-2013;10;Sant Martí;67;la Vila Olímpica del Poblenou;802;851
2009-2013;10;Sant Martí;68;el Poblenou;788;858
